frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
54,1.9962,histogram,pid,0,1,0,0.0681,156.794,6.6057,306.9823,-3.206,-3.4985,-0.1246,STOP,-0.0801,-0.0593,0.0149,0.0,0.0,28.2337,16.0422,62.3357,0.4439,1.2972,0.6718,2.0444,0.0565,6.0164,0.197,0.0
55,2.0289,histogram,pid,0,1,0,0.0681,156.794,6.6057,306.9823,-3.206,-3.4108,-0.1296,STOP,-0.0801,-0.0599,0.0105,0.0,0.0,45.9437,19.9455,50.1367,0.4358,1.28,0.4665,1.2382,0.0547,4.8605,0.1755,10.5174
56,2.0462,histogram,pid,0,1,0,0.0694,156.6638,6.3322,306.9954,-3.3362,-3.3884,-0.1385,STOP,-0.0834,-0.061,0.0058,0.0,0.0,44.4907,32.3044,30.9556,0.4467,1.4574,0.4794,1.8661,0.0556,4.0741,0.1544,0.0
57,2.0624,histogram,pid,0,1,0,0.0792,156.567,6.1515,306.9824,-3.433,-3.4018,-0.1454,STOP,-0.0858,-0.0615,0.0019,0.0,0.0,29.5131,16.6288,60.1367,0.4509,1.2634,0.4474,1.0645,0.0617,4.5412,0.1507,0.0
58,2.0949,histogram,pid,0,1,0,0.0792,156.567,6.1515,306.9824,-3.433,-3.4112,-0.1465,STOP,-0.0858,-0.062,0.0013,0.0,0.0,46.5578,17.1553,58.2909,0.4337,1.04,0.3957,1.824,0.0877,4.0088,0.15,9.7306
59,2.1102,histogram,pid,0,1,0,0.075,156.1234,6.4768,305.7701,-3.8766,-3.5508,-0.1645,STOP,-0.0969,-0.0632,-0.0044,0.0,0.0,15.5387,31.2151,32.0358,0.4781,1.0774,0.4006,1.469,0.0578,3.8553,0.148,0.0
60,2.126,histogram,pid,0,1,0,0.075,156.1234,6.4768,305.7701,-3.8766,-3.6485,-0.1637,STOP,-0.0969,-0.0637,-0.0031,0.0,0.0,31.3959,15.3272,65.2435,0.4567,1.0762,0.416,1.0404,0.062,4.806,0.1481,0.0
61,2.1564,histogram,pid,0,1,0,0.075,156.1234,6.4768,305.7701,-3.8766,-3.7169,-0.1634,STOP,-0.0969,-0.0643,-0.0022,0.0,0.0,47.1916,16.631,60.1288,0.4945,1.0218,0.3994,1.1784,0.0551,3.8891,0.144,9.4003
62,2.1759,histogram,pid,0,1,0,0.075,156.5916,6.2007,306.9824,-3.4084,-3.6244,-0.1463,STOP,-0.0852,-0.0653,0.0042,0.0,0.0,47.5336,30.6859,32.5883,0.4311,1.0142,0.4321,4.2526,0.0529,4.1662,0.1663,0.0
63,2.1924,histogram,pid,0,1,0,0.0681,156.7369,6.4913,306.9824,-3.2631,-3.516,-0.1416,STOP,-0.0816,-0.0659,0.0058,0.0,0.0,34.8809,18.8613,53.0186,0.4557,1.1286,0.4624,1.5952,0.0615,4.2994,0.184,0.0
64,2.2234,histogram,pid,0,1,0,0.0681,156.7369,6.4913,306.9824,-3.2631,-3.4401,-0.1439,STOP,-0.0816,-0.0664,0.0041,0.0,0.0,50.7538,16.8391,59.3857,0.432,1.0086,0.4032,1.2133,0.0572,3.961,0.1475,11.2408
65,2.2388,histogram,pid,0,1,0,0.0708,155.9474,6.1248,305.7701,-4.0526,-3.6239,-0.1758,STOP,-0.1013,-0.0676,-0.007,0.0,0.0,16.0075,30.1275,33.1923,0.44,1.0559,0.4252,1.2244,0.0609,4.1174,0.1453,0.0
66,2.2565,histogram,pid,0,1,0,0.0708,155.9474,6.1248,305.7701,-4.0526,-3.7525,-0.1743,STOP,-0.1013,-0.0682,-0.0049,0.0,0.0,33.757,15.8942,62.916,0.4346,1.066,0.4913,1.5279,0.0698,5.699,0.1659,0.0
67,2.2899,histogram,pid,0,1,0,0.0708,155.9474,6.1248,305.7701,-4.0526,-3.8425,-0.1736,STOP,-0.1013,-0.0688,-0.0034,0.0,0.0,49.3632,17.7068,56.4754,0.437,1.0071,0.3931,1.5672,0.0508,3.797,0.15,12.3471
