frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
32,1.8787,histogram,pid,0,1,0,0.0194,155.694,4.1876,307.2005,-4.306,-3.6559,-0.1613,STOP,-0.1076,-0.0502,-0.0035,0.0,0.0,25.4622,63.4022,15.7723,0.4282,1.3676,0.5687,1.4102,0.0562,4.5076,0.2764,0.0
33,1.897,histogram,pid,0,1,0,0.0194,155.694,4.1876,307.2005,-4.306,-3.8509,-0.1611,STOP,-0.1076,-0.051,-0.0025,0.0,0.0,43.8045,19.7522,50.6273,0.532,1.1525,0.415,1.0396,0.06,3.9182,0.1424,0.0
34,1.9615,histogram,pid,0,1,0,0.025,155.5473,4.2066,306.8881,-4.4527,-4.0314,-0.1682,STOP,-0.1113,-0.0516,-0.0052,0.0,0.0,26.3772,15.714,63.6376,0.4471,1.1515,0.4372,1.8848,0.0754,6.3005,0.1428,40.2176
35,1.9776,histogram,pid,0,1,0,0.025,155.8489,4.4973,307.2005,-4.1511,-4.0673,-0.1598,STOP,-0.1038,-0.0541,-0.0019,0.0,0.0,34.8133,64.0689,15.6082,0.6308,2.0314,0.6246,1.0317,0.0496,3.5848,0.1443,0.0
36,1.9919,histogram,pid,0,1,0,0.025,155.7361,4.2718,307.2005,-4.2639,-4.1263,-0.1653,STOP,-0.1066,-0.0548,-0.004,0.0,0.0,19.8019,15.8065,63.265,0.4378,1.0514,0.3964,0.9867,0.05,3.5904,0.1388,0.0
37,2.0582,histogram,pid,0,1,0,0.025,155.7361,4.2718,307.2005,-4.2639,-4.1676,-0.1647,STOP,-0.1066,-0.0553,-0.0028,0.0,0.0,36.6828,14.5499,68.7291,0.4639,1.1121,0.7678,1.7781,0.0479,4.6838,0.1398,42.3685
38,2.0772,histogram,pid,0,1,0,0.0236,155.8155,4.4306,307.2005,-4.1845,-4.1726,-0.1641,STOP,-0.1046,-0.058,-0.0015,0.0,0.0,33.1162,67.4621,14.8231,0.424,1.8487,0.3974,2.3257,0.0488,4.775,0.1428,0.0
39,2.0937,histogram,pid,0,1,0,0.0236,155.8155,4.4306,307.2005,-4.1845,-4.1762,-0.1644,STOP,-0.1046,-0.0587,-0.0011,0.0,0.0,49.5786,18.8299,53.1071,0.446,1.1167,0.41,1.232,0.0616,4.1258,0.1583,0.0
40,2.1564,histogram,pid,0,1,0,0.025,155.7428,4.2852,307.2005,-4.2572,-4.2005,-0.1683,STOP,-0.1064,-0.0593,-0.0025,0.0,0.0,29.1953,15.7196,63.6148,0.4382,1.0629,0.3918,0.9767,0.0517,3.6755,0.1367,40.8426
41,2.1717,histogram,pid,0,1,0,0.0236,155.8233,4.4462,307.2005,-4.1767,-4.1933,-0.1675,STOP,-0.1044,-0.0618,-0.0013,0.0,0.0,32.7183,63.0951,15.8491,0.4333,1.0043,0.4385,1.1077,0.0709,3.5853,0.1454,0.0
42,2.1866,histogram,pid,0,1,0,0.0208,155.6285,4.0566,307.2005,-4.3715,-4.2468,-0.1776,STOP,-0.1093,-0.0624,-0.0059,0.0,0.0,25.1026,14.5505,68.7261,0.4378,1.0102,0.3897,1.0899,0.0582,3.928,0.2053,0.0
43,2.2519,histogram,pid,0,1,0,0.0208,155.6285,4.0566,307.2005,-4.3715,-4.2842,-0.1766,STOP,-0.1093,-0.0631,-0.0041,0.0,0.0,43.306,17.7086,56.4696,0.4349,1.1521,0.3993,1.909,0.0498,3.5249,0.1405,40.5659
44,2.2689,histogram,pid,0,1,0,0.0306,155.8578,4.5152,307.2005,-4.1422,-4.2416,-0.1707,STOP,-0.1036,-0.0656,-0.0015,0.0,0.0,44.3974,63.983,15.6292,0.454,1.2391,0.5474,1.4064,0.0491,3.8978,0.1433,0.0
45,2.2863,histogram,pid,0,1,0,0.0125,155.4886,3.7768,307.2005,-4.5114,-4.3225,-0.1885,STOP,-0.1128,-0.0663,-0.0094,0.0,0.0,28.2067,16.6983,59.8863,0.4673,1.3608,0.4539,1.088,0.0545,4.8043,0.1446,0.0
