frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
75,5.727,histogram,pid,0,1,0,0.3736,159.2293,11.0346,307.4239,-0.7707,-0.7716,-0.0367,STOP,-0.0193,-0.0171,-0.0003,0.0,0.0,16.3091,9.8499,101.5237,0.4076,1.0456,0.4248,1.4056,0.057,4.7674,0.1612,0.0
76,5.7367,histogram,pid,0,1,0,0.3736,159.2293,11.0346,307.4239,-0.7707,-0.7713,-0.0366,STOP,-0.0193,-0.0172,-0.0002,0.0,0.0,25.942,9.7411,102.6576,0.427,1.1394,0.4872,1.2863,0.0649,4.63,0.1606,0.0
77,5.8042,histogram,pid,0,1,0,0.3736,159.2293,11.0346,307.4239,-0.7707,-0.7711,-0.0367,STOP,-0.0193,-0.0172,-0.0001,0.0,0.0,38.5372,9.9445,100.5581,0.8618,2.4173,0.8729,1.4795,0.0574,4.9867,0.1808,47.2115
78,5.8139,histogram,pid,0,1,0,0.375,159.2077,11.0026,307.4128,-0.7923,-0.7775,-0.0378,STOP,-0.0198,-0.0177,-0.0002,0.0,0.0,11.2807,67.2181,14.8769,0.3906,1.4734,0.4534,1.0693,0.0526,4.5952,0.1678,0.0
79,5.8243,histogram,pid,0,1,0,0.375,159.2077,11.0026,307.4128,-0.7923,-0.7819,-0.0378,STOP,-0.0198,-0.0178,-0.0002,0.0,0.0,21.7902,9.9695,100.3059,0.4247,1.1819,0.4751,1.4385,0.0624,4.918,0.1846,0.0
80,5.835,histogram,pid,0,1,0,0.375,159.2077,11.0026,307.4128,-0.7923,-0.785,-0.0378,STOP,-0.0198,-0.0179,-0.0001,0.0,0.0,32.4799,10.3159,96.9377,0.5177,1.0957,0.438,1.4024,0.0572,5.4091,0.1693,0.0
81,5.9011,histogram,pid,0,1,0,0.375,159.2077,11.0026,307.4128,-0.7923,-0.7872,-0.0379,STOP,-0.0198,-0.018,-0.0001,0.0,0.0,45.2714,11.4901,87.0313,0.4298,3.0383,0.4423,1.6886,0.0512,4.6083,0.1567,48.0672
82,5.9109,histogram,pid,0,1,0,0.375,159.2353,11.0596,307.411,-0.7647,-0.7805,-0.0375,STOP,-0.0191,-0.0185,0.0001,0.0,0.0,16.1188,65.1751,15.3433,0.3884,1.0249,0.4334,1.5905,0.0627,4.6743,0.1588,0.0
83,5.9213,histogram,pid,0,1,0,0.375,159.2353,11.0596,307.411,-0.7647,-0.7757,-0.0376,STOP,-0.0191,-0.0185,0.0001,0.0,0.0,26.5219,10.079,99.2164,0.3963,1.0452,0.496,1.3728,0.055,5.1721,0.158,0.0
84,5.9324,histogram,pid,0,1,0,0.375,159.2353,11.0596,307.411,-0.7647,-0.7724,-0.0377,STOP,-0.0191,-0.0186,0.0001,0.0,0.0,37.5435,10.469,95.5203,0.4428,1.0752,0.9011,1.787,0.0417,4.885,0.1586,0.0
85,5.9981,histogram,pid,0,1,0,0.375,159.2353,11.0596,307.411,-0.7647,-0.7701,-0.0378,STOP,-0.0191,-0.0187,0.0,0.0,0.0,48.0272,10.7561,92.9709,0.4796,1.052,0.4308,1.5005,0.0599,5.3209,0.1669,47.9195
86,6.0072,histogram,pid,0,1,0,0.3736,159.2243,11.0357,307.4128,-0.7757,-0.7718,-0.0386,STOP,-0.0194,-0.0192,-0.0,0.0,0.0,16.6239,65.6466,15.2331,0.3993,1.1029,0.4103,1.3569,0.0491,4.2551,0.1517,0.0
87,6.0165,histogram,pid,0,1,0,0.3736,159.2243,11.0357,307.4128,-0.7757,-0.773,-0.0386,STOP,-0.0194,-0.0192,-0.0,0.0,0.0,25.9256,9.1053,109.8257,0.3959,1.0267,0.4625,1.3246,0.059,4.4666,0.1859,0.0
88,6.0272,histogram,pid,0,1,0,0.3736,159.2243,11.0357,307.4128,-0.7757,-0.7738,-0.0387,STOP,-0.0194,-0.0193,-0.0,0.0,0.0,36.6022,9.34,107.0661,0.4868,1.2122,0.536,1.3198,0.0481,5.4671,0.1673,0.0
89,6.0955,histogram,pid,0,1,0,0.3736,159.2243,11.0357,307.4128,-0.7757,-0.7744,-0.0388,STOP,-0.0194,-0.0194,-0.0,0.0,0.0,46.8699,10.6927,93.5215,0.4096,1.4743,0.4907,1.2067,0.0518,4.9859,0.161,51.383
90,6.1048,histogram,pid,0,1,0,0.375,159.2041,10.9926,307.4157,-0.7959,-0.7808,-0.0399,STOP,-0.0199,-0.0199,-0.0001,0.0,0.0,16.7947,68.3763,14.625,0.4261,1.1234,0.4255,1.0366,0.0482,4.5669,0.1552,0.0
91,6.1145,histogram,pid,0,1,0,0.375,159.2041,10.9926,307.4157,-0.7959,-0.7853,-0.0399,STOP,-0.0199,-0.0199,-0.0001,0.0,0.0,26.5003,9.1919,108.792,0.4404,1.0291,0.4112,1.0843,0.0495,5.0544,0.1512,0.0
92,6.1256,histogram,pid,0,1,0,0.375,159.2041,10.9926,307.4157,-0.7959,-0.7885,-0.04,STOP,-0.0199,-0.02,-0.0001,0.0,0.0,37.6086,10.3024,97.0651,0.797,1.3812,0.4245,1.2898,0.0514,4.9623,0.1647,0.0
93,6.1958,histogram,pid,0,1,0,0.375,159.2398,11.0698,307.4097,-0.7602,-0.78,-0.0379,STOP,-0.019,-0.0201,0.0012,0.0,0.0,20.6565,10.9605,91.2364,0.62,2.9834,0.4723,2.0369,0.0572,4.9104,0.1515,51.5519
94,6.2043,histogram,pid,0,1,0,0.375,159.2107,11.0072,307.4141,-0.7893,-0.7828,-0.0397,STOP,-0.0197,-0.0206,0.0007,0.0,0.0,18.8959,69.7278,14.3415,0.3919,0.7024,0.4275,0.9085,0.0553,4.4642,0.1399,0.0
95,6.2143,histogram,pid,0,1,0,0.375,159.2107,11.0072,307.4141,-0.7893,-0.7848,-0.0399,STOP,-0.0197,-0.0207,0.0005,0.0,0.0,28.8527,8.587,116.4556,0.5094,0.7777,0.4809,1.6193,0.0423,4.9508,0.1554,0.0
96,6.225,histogram,pid,0,1,0,0.375,159.2107,11.0072,307.4141,-0.7893,-0.7861,-0.0402,STOP,-0.0197,-0.0208,0.0003,0.0,0.0,39.5893,10.089,99.1181,0.4484,1.0674,0.4221,2.3619,0.0518,4.6394,0.1497,0.0
97,6.2958,histogram,pid,0,1,0,0.3764,159.2413,11.0789,307.4037,-0.7587,-0.7779,-0.0385,STOP,-0.019,-0.0208,0.0013,0.0,0.0,20.3811,10.6677,93.7407,0.415,1.0493,0.4338,1.3702,0.0547,5.1871,0.1642,53.0647
